TEAM,NAME,image,,,,,,,,,BATTING STYLE,BOWLING STYLE,PLAYING ROLE
Kolkata Knight Riders,Varun Chakravarthy,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nLegbreak Googly',, Karnataka',, 'AGE\n\n33y 311d',,Right hand Bat,Legbreak Googly,Bowler
Kolkata Knight Riders,Umran Malik,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Fast',, Jammu & Kashmir',, 'AGE\n\n25y 226d',,Right hand Bat,Right arm Fast,Bowler
Kolkata Knight Riders,Shivam Shukla,, 'nilING STYLE\n\nLegbreak'],,,, 'AGE\n\n29y 207d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Legbreak,Bowler
Lucknow Super Giants,Rishabh Pant,,Left hand Bat,Left hand Bat, 'FIELDING POSITION\n\nWicketkeeper',, Uttarakhand',, 'AGE\n\n27y 277d',,Left hand Bat,not defined,Wicketkeeper Batter
Lucknow Super Giants,Abdul Samad,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nLegbreak',, Jammu & Kashmir',, 'AGE\n\n23y 253d',,Right hand Bat,Legbreak,Batter
Lucknow Super Giants,Ayush Badoni,, 'nilING STYLE\n\nRight arm Offbreak',, 'PLAYING ROLE\n\nBatter'],, 'AGE\n\n25y 217d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Offbreak,Batter
Lucknow Super Giants,Matthew Breetzke,, 'PLAYING ROLE\n\nBatter',, 'EDUCATION\n\nGrey High School'],, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'FIELDING POSITION\n\nWicketkeeper',,Right hand Bat,not defined,Batter
Lucknow Super Giants,Himmat Singh,, 'nilING STYLE\n\nRight arm Offbreak',, 'PLAYING ROLE\n\nBatter'],, 'AGE\n\n28y 242d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Offbreak,Batter
Lucknow Super Giants,Aryan Juyal,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'FIELDING POSITION\n\nWicketkeeper',, Uttar Pradesh',, 'AGE\n\n23y 239d',,Right hand Bat,not defined,Wicketkeeper Batter
Lucknow Super Giants,David Miller,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nRight arm Offbreak',, Natal',, 'AGE\n\n36y 28d',,Left hand Bat,Right arm Offbreak,Middle order Batter
